Organisation,Jurisdiction,Gazetteer Link,Gazetteer Feature Number
Australian Charities and Not-for-profits Commission,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
ACT Emergency Services Agency (ESA),Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
ACT Planning and Land Authority (ACTPLA),Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
Australian Institute of Health and Welfare,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Arts Victoria,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Alpine Shire Council,Alpine Shire,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=VIC30431,VIC30431
Attorney General's Department,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Business Register,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australia Council for the Arts,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian National Data Service,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Fisheries Management Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Financial Security Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Broadcasting Corporation,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Antarctic Division,Australian Antarctic Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=AAD2524,AAD2524
Australian Research Council,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Customs and Border Protection Service,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Communications and Media Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Bureau of Statistics,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Federal Police,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Institute of Criminology,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Museum,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Pesticides and Veterinary Medicines Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Taxation Office,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Prudential Regulation Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Australian Public Service Commission,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Brisbane City Council,Brisbane,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=QLD4555,QLD4555
"Bureau of Infrastructure, Transport and Regional Economics",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Bureau of Meteorology,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Bureau of Resources and Energy Economics,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Chief Minister and Cabinet Directorate (CMCD),Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
City of Ballarat,Ballarat,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=VIC30433,VIC30433
Centre for Australian National Biodiversity Research,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
City of Greater Geelong,Greater Geelong,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=VIC30457,VIC30457
City of Gold Coast,Gold Coast,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=QLD42078,QLD42078
City of Hobart,Hobart,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=TAS37819,TAS37819
City of Melbourne,Melbourne,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=VIC30473,VIC30473
