"Title","Description","License","Tags","Groups","Organisation","Visibility","Format","Language","Publisher","Type","URL","[DateAdded, Date Modified]"
"NSW Public Schools Master Data Set","Comprehensive information for NSW public schools, including location information, school type and contact details. See attachment in about section for lat/longs","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1463459670]"
"NSW Schools- Map Data","School code, school name, latitude and longitude (see also attachment in 'about' section).","CC_30_BY_AUS","['geocode', 'map']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1442212684]"
"Enrolments (head count) School Level 2004 to 2013","National Schools Statistics Collection (NSSC) enrolments collected as at the first Friday in August every year.
All NSSC enrolments are headcount figures.
Where a school had 5 or fewer students, the figure has been suppressed.
A blank figure indicates no enrolments were collected for NSSC in the given calendar year.","CC_30_BY_AUS","['enrolments', 'head count']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1413325888, 1413326031]"
"Map of NSW Public Schools","Comprehensive information for NSW public schools, including location information, school type and contact details.","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1436319767]"
"Schools using the DEC-provided Schools Website Service","as at August 2014.  Includes links to calendars.  Replace the dd-mm-yyy with the relevant dates","CC_30_BY_AUS","['schools', 'websites']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1413346441, 1413346441]"
"Classes - Average Primary Class Sizes By Year, 1997 And 2002-2014","Average Primary Class Sizes By Year, 1997 And 2002-2014","CC_30_BY_AUS","['class size', 'primary']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443404165, 1443404165]"
"Schools map/enrolment","Comprehensive information for NSW public schools, including location information, school type and contact details.","CC_30_BY_AUS","['schools', 'geolocation']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1463459670, 1445299066]"
"Map of NSW government schools","","CC_30_BY_AUS","","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1445298868]"
"Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014","Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014.

Since 1993 some students have enrolled part-time and all enrolments are reported in full-time equivalent units (FTEs) and include full-time and part-time students.","CC_30_BY_AUS","['enrolments', 'fte']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1459753145, 1459753145]"
"Schools attendance rates by Aboriginality and year level, 2014","Schools attendance rates by Aboriginality and year level, 2014","CC_30_BY_AUS","['attendance', 'primary', 'secondary', 'indigenous']","Public","Centre for Education Statistics and Evaluation","Yes","published","English","Centre for Education Statistics and Evaluation","Dataset","http://www.cese.nsw.gov.au/publications-filter/cese-statistical-bulletin-4-schools-and-students-2014","[1448319575, 1448319576]"
"NSW Government School Enrolments By Scholastic Year 2014","Source: Statistics Unit, Centre for Education Statistics and Evaluation, DEC. Extracted in June 2015. Mid-Year Census 2014.								
								
Notes:								
1) Enrolments are full-time equivalent (FTE) enrolments. For the purposes of State reporting, only students in Year 11 and 12 may be part-time. Hence there is no difference between ""full-time"" and ""full-time equivalent"" enrolments for K-10 or ungraded in NSW government schools.								
2) Ungraded students are students who are not assigned to a particular grade.  They are often enrolled in support classes or schools for specific purposes (SSPs)								
3) Total enrolments are provided for Schools for Specific Purposes.  All these students are classified as ungraded students.								
4) sp: data suppressed where enrolments are 5 or fewer. Where only one grade at a school had a value of <=5, the ungraded cell has also been suppressed for privacy reasons. Where there are no ungraded students, the grade with the next lowest total has also suppressed.","CC_30_BY_AUS","['enrolments', 'scholastic year']","Public","NSW Department of Education","Yes","published","English","NSW Department of Education","Dataset","","[1442982325, 1442982326]"
"Proportion of students at or above the National Minimum Standard for NAPLAN Reading and Numeracy, Year 9, NSW, 2008-13","Source; Australian Curriculum, Assessment and Reporting Authority 2013, NAPLAN Achievement in Reading, Persuasive Writing, Language Conventions and Numeracy: National Report for 2013, ACARA, Sydney","CC_30_BY_AUS","['naplan', 'year 9']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","","[1409842850, 1429128478]"
"Map of NSW Schools","School code, school name, latitude and longitude (see also attachment in 'about' section).","CC_30_BY_AUS","['geocode', 'map']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1442202142, 1439429515]"
"2013 Statistical Bulletin: Schools and Students in NSW","The Statistical Bulletin is an annual publication which presents a snapshot of NSW schools, preschools and students, including the Aboriginal status and language background of students. The bulletin also includes trend data on enrolments in NSW Government and non-government schools from 1961 to the present day.","CC_30_BY_AUS","['statistics bulletin', 'pdf', 'cese', '2013', 'aboriginal', 'indigenous']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1412906462, 1448321499]"
"Resource Allocation Model and Family Occupation Educational Index, 2016","The Resource Allocation Model (RAM) has been developed to ensure a fair, efficient and transparent allocation of the education budget for every school.
The model, introduced in phases, recognises that students and school communities are not all the same  they have different needs and require different levels of support.","CC_30_BY_AUS","['ram', 'resource allocation model', 'foei', 'family occupation education index', 'funding', 'budget']","Public","Department of Education","Yes","published","English","Department of Education","Dataset","https://www.det.nsw.edu.au/media/downloads/about-us/our-reforms/local-schools-local-decisions/reform-agenda/resource-allocation-model/2015/RAM_2016_Funding_Table.pdf","[1449727483, 1449727483]"
"Apparent Retention in NSW Government Schools, 2001-2014","All enrolments are reported in full-time equivalent units (FTEs), and include full-time and part-time students. Students enrolled in distance education classes are included with their appropriate grade levels.","CC_30_BY_AUS","['retention', 'nsw', 'government schools', '2001-2014']","Public","NSW Department of Education and Communities","Yes","published","English","NSW Department of Education and Communities","Dataset","http://www.cese.nsw.gov.au","[1443593914, 1443593978]"
