"Title","Description","License","Tags","Groups","Visibility","Format","Language","Publisher","Type","[DateAdded, Date Modified]","Theme","Data Status","Update Frequency","Contact email","Expose User Contact Information","Temporal coverage from","Temporal coverage to","Geospatial coverage","Socrata ID","Jurisdiction","Category","Geospatial Topic","Data Models","Field of Research"
"Enrolments ( FTE) Of Aboriginal Students By SA4 Groupings And Grade Groups, 2014","Enrolments (FTE) of Aboriginal students by SA4 groupings and grade groups in NSW government schools, mid-year 2014","CC_30_BY_AUS","['aboriginal students', 'sa4', 'enrolment', '2014', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448319497, 1448319498]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","tmt8-fi3a","New South Wales","Students",,"n/a","1301 Education Systems"
"Administrative Cost of Education Per Child In Australian Public Schools, 2012-13","Refer to attachment for more information. NSW has the largest public school system in Australia, with spending of $15,405 per public school student in 2012/13*.","CC_30_BY_AUS","['administrative costs', 'administration', 'education costs', 'financial']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453184328, 1453184328]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ctya-sie3","New South Wales","Assets",,"n/a","1301 Education Systems"
"Age Distribution Of Students In Preschools & Early Intervention Programs, 2014","Age distribution of students in nsw government preschools and early intervention programs, mid-year 2014","CC_30_BY_AUS","['age distribution', 'preschools', 'early intervention', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443667453, 1443667453]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","naxc-4nmz","New South Wales","Students",,"n/a","1301 Education Systems"
"Age-grade Distribution Of Students In Schools, 2014 ( SSP) By Age And Category","Age-grade distribution of students in nsw government schools, mid-year 2014 students in schools for specific purposes by age and category","CC_30_BY_AUS","['age grade distribution', 'ssp', 'age', 'category', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443667335, 1443667335]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9vz2-sixg","New South Wales","Students",,"n/a","1301 Education Systems"
"Permanent School Teacher Age Profiles, 2015","For more information, refer to attachment. Effective workforce planning processes enable the Department to meet the challenges of an ageing teaching workforce.","CC_30_BY_AUS","['age profiles', 'teachers', 'workforce planning', 'supply and demand', 'employment']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453440377, 1453440377]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","c7s6-d32d","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Age-grade distribution of primary students in NSW government schools, 2014","Primary students by age and year of schooling (excluding support students), collected midyear 2014","CC_30_BY_AUS","['age', 'primary', 'year of schooling', 'age grade distribution']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443664130, 1443664130]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","cum5-u9uj","New South Wales","Students",,"n/a","1301 Education Systems"
"Age-grade distribution of secondary students in NSW government schools, 2014","As at midyear 2014_x000D_
_x000D_
Full-time, secondary students by age and year of schooling (excluding support students)","CC_30_BY_AUS","['age', 'secondary', 'age grade distribution']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443663987, 1443663987]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","w4zr-yr7h","New South Wales","Students",,"n/a","1301 Education Systems"
"Age-grade Distribution Of Students In Secondary Schools (part time), 2014","Age-grade Distribution Of Students In Secondary Schools (part time), mid-year 2014 (exc Support Students)","CC_30_BY_AUS","['age', 'students', 'age grade distribution', 'part time students', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443666922, 1443666922]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","esi9-i8tn","New South Wales","Students",,"n/a","1301 Education Systems"
"NSW Public School Teachers - Age Distribution by Gender","Based on number of teachers employed on census date (2012) and includes casual teachers","CC_30_BY_AUS","['age', 'teachers']","Public","Yes","published","English","NSW Department of Education","Dataset","[1409812302, 1409815789]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","fjry-zs82","New South Wales","Teachers",,"n/a","1301 Education Systems"
"Apprentices And Trainees in NSW, 2003-2011","Refer to attachment for more information. Apprenticeships are the principal way to enter into a trade occupation. The successful completion of apprenticeships is assisting to fill identified areas of skill shortages in New South Wales.","CC_30_BY_AUS","['apprentice', 'trainee', 'trade']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453181730, 1453181730]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.03","31.12.11","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3nz7-m6ye","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
